Codigo_Transacao,CPF_Cliente,Nome_Cliente,Data_Transacao,Moeda,Valor_Transacao,Tipo_Transacao,Status_Transacao,Categoria,Banco,Num_Parcelas,Taxa_Servico,Valor_Final
FIN000384,402.805.276-85,Carolina Azevedo,2023-05-17,BRL,286123.0,Saque,Aprovada,Vestuário,Inter,6,378.83,286501.83
FIN000611,802.860.512-48,Leonardo Braga,2023-12-10,BRL,286123.0,PIX,Pendente,Alimentação,C6 Bank,12,277.7,286400.7
FIN000453,577.633.880-43,Rodrigo Farias,2023-07-19,BRL,286123.0,Transferência,Pendente,Vestuário,C6 Bank,6,433.13,286556.13
FIN000853,844.250.661-51,Isabela Nunes,2024-07-18,BRL,286123.0,Transferência,Pendente,Viagem,BTG,12,273.48,286396.48
FIN000437,666.874.247-51,Guilherme Mota,2023-07-04,BRL,286123.0,Pagamento,Pendente,Moradia,Inter,2,405.76,286528.76
FIN000692,682.397.833-52,Guilherme Mota,2024-02-22,BRL,918297.0,Transferência,Aprovada,Viagem,XP,2,73.88,918370.88
FIN000908,989.317.501-93,Amanda Vieira,2024-09-06,BRL,99215.0,PIX,Recusada,Viagem,XP,12,16.42,99231.42
FIN000519,813.170.817-77,Marcelo Teixeira,2023-09-17,BRL,286123.0,Transferência,Pendente,Vestuário,BTG,1,95.29,286218.29
FIN000023,982.428.326-41,Juliana Queiroz,2022-06-21,BRL,734211.0,Saque,Recusada,Tecnologia,C6 Bank,2,85.13,734296.13
FIN000172,478.332.761-26,Camila Rocha,2022-11-04,BRL,286123.0,Pagamento,Recusada,Vestuário,XP,1,150.91,286273.91
FIN000595,993.112.118-61,Thiago Cavalcanti,2023-11-25,BRL,286123.0,Depósito,Recusada,Viagem,XP,24,116.52,286239.52
FIN000671,601.196.492-92,Rodrigo Farias,2024-03-02,BRL,286123.0,Pagamento,Recusada,Moradia,BTG,3,288.66,286411.66
FIN000606,550.590.909-52,Rodrigo Farias,2023-12-05,BRL,286123.0,Depósito,Recusada,Vestuário,C6 Bank,12,197.19,286320.19
FIN000132,318.602.632-96,Juliana Queiroz,2022-09-28,BRL,286123.0,PIX,Recusada,Investimento,BTG,24,197.81,286320.81
FIN000125,984.673.912-52,Rafael Macedo,2022-09-22,BRL,286123.0,Depósito,Recusada,Vestuário,Inter,12,366.57,286489.57
FIN000880,174.467.559-79,Thiago Cavalcanti,2024-08-12,BRL,286123.0,PIX,Aprovada,Tecnologia,Inter,6,387.48,286510.48
FIN000699,276.131.380-14,Henrique Pinto,2024-02-28,BRL,286123.0,Saque,Aprovada,Viagem,Banco do Brasil,24,556.88,286679.88
FIN000809,110.591.803-24,Beatriz Lopes,2024-06-08,BRL,407785.0,Depósito,Pendente,Viagem,XP,24,120.65,407905.65
FIN000139,497.275.243-93,Amanda Vieira,2022-10-05,BRL,286123.0,Transferência,Aprovada,Vestuário,C6 Bank,3,103.13,286226.13
FIN000700,813.853.520-76,Marcelo Teixeira,2024-02-29,BRL,202314.0,Saque,Pendente,Moradia,Banco do Brasil,3,182.07,202496.07
FIN000688,703.594.535-43,Leticia Moura,2024-02-18,BRL,286123.0,Transferência,Aprovada,Alimentação,C6 Bank,24,82.09,286205.09
